title,start,end,sourceUrl
"Patriot Day and National Day of Remembrance and Service, 2009","2009-09-11","2009-09-11","https://www.whitehouse.gov/the-press-office/presidential-proclamation-patriot-day-and-national-day-remembrance-and-service"
"National Fallen Firefighters Memorial Service, 2009","2009-10-04","2009-10-04","https://www.whitehouse.gov/the-press-office/presidential-proclamation-fire-prevention-week"
"Honoring the Victims of the Tragedy at Fort Hood, Texas","2009-11-10","2009-11-10","https://www.whitehouse.gov/the-press-office/honoring-victims-tragedy-fort-hood-texas"
"National Pearl Harbor Remembrance Day, 2009","2009-12-07","2009-12-07","https://www.whitehouse.gov/the-press-office/presidential-proclamation-national-pearl-harbor-remembrance-day"
"National Day of Service and Remembrance for Victims and Survivors of Terrorism, 2010","2010-04-19","2010-04-19","https://www.whitehouse.gov/the-press-office/presidential-proclamation-nationa-day-service-and-remembrance-victims-and-survivors"
"Death of Dorothy Height","2010-04-29","2010-04-29","https://www.whitehouse.gov/the-press-office/presidential-proclamation-death-dorothy-height"
"Peace Officers Memorial Day, 2010","2010-05-15","2010-05-15","https://www.whitehouse.gov/the-press-office/presidential-proclamation-peace-officers-memorial-day-and-police-week"
"Memorial Day, 2010","2010-05-31","2010-05-31","https://www.whitehouse.gov/the-press-office/presidential-proclamation-memorial-day"
"Death of Robert Byrd","2010-07-04","2010-07-04","https://www.whitehouse.gov/the-press-office/presidential-proclamation-passing-robert-byrd"
"Patriot Day and National Day of Service and Remembrance, 2010","2010-09-11","2010-09-11","https://www.whitehouse.gov/the-press-office/2010/09/10/presidential-proclamation-patriot-day-and-national-day-service-and-remem"
"National Fallen Firefighters Memorial Service, 2010","2010-10-03","2010-10-03","https://www.whitehouse.gov/the-press-office/2010/10/01/presidential-proclamation-fire-prevention-week"
"National Pearl Harbor Remembrance Day, 2010","2010-12-07","2010-12-07","https://www.whitehouse.gov/the-press-office/2010/12/07/presidential-proclamation-national-pearl-harbor-remembrance-day"
"Honoring the Victims of the Tragedy in Tucson, Arizona","2011-01-09","2011-01-14","https://www.whitehouse.gov/the-press-office/2011/01/09/presidential-proclamation-honoring-victims-tragedy-tucson-arizona"
"Death of Army Corporal Frank W. Buckles","2011-03-15","2011-03-15","https://www.whitehouse.gov/the-press-office/2011/02/28/presidential-proclamation-death-army-corporal-frank-w-buckles-last-survi"
"Peace Officers Memorial Day, 2011","2011-05-15","2011-05-15","https://www.whitehouse.gov/the-press-office/2011/05/13/presidential-proclamation-peace-officers-memorial-day-and-police-week"
"Memorial Day, 2011","2011-05-30","2011-05-30","https://www.whitehouse.gov/the-press-office/2011/05/27/prayer-peace-memorial-day-2011"
"Patriot Day and National Day of Service and Remembrance, 2011","2011-09-11","2011-09-11","https://www.whitehouse.gov/the-press-office/2011/09/09/presidential-proclamation-patriot-day-and-national-day-service-and-remem"
"National Fallen Firefighters Memorial Service, 2011","2011-10-16","2011-10-16","https://www.whitehouse.gov/the-press-office/2011/10/07/presidential-proclamation-fire-prevention-week"
"National Pearl Harbor Remembrance Day, 2011","2011-12-07","2011-12-07","https://www.whitehouse.gov/the-press-office/2011/12/06/presidential-proclamation-national-pearl-harbor-remembrance-day-2011"
"Peace Officers Memorial Day, 2012","2012-05-12","2012-05-12","https://www.whitehouse.gov/the-press-office/2012/05/14/presidential-proclamation-peace-officers-memorial-day-and-police-week"
"Memorial Day, 2012","2012-05-28","2012-05-28","https://www.whitehouse.gov/the-press-office/2012/05/25/presidential-proclamation-prayer-peace-memorial-day-2012"
"Honoring the Victims of the Tragedy in Aurora, Colorado","2012-07-20","2012-07-25","https://www.whitehouse.gov/the-press-office/2012/07/20/presidential-proclamation-honoring-victims-tragedy-aurora-colorado"
"Honoring the Victims of the Tragedy in Oak Creek, Wisconsin","2012-08-06","2012-08-10","https://www.whitehouse.gov/the-press-office/2012/08/06/presidential-proclamation-honoring-victims-tragedy-oak-creek-wisconsin"
"Death of Neil Armstrong","2012-08-31","2012-08-31","https://www.whitehouse.gov/the-press-office/2012/08/27/presidential-proclamation-death-neil-armstrong"
"Patriot Day and National Day of Service and Remembrance, 2012","2012-09-11","2012-09-11","https://www.whitehouse.gov/the-press-office/2012/09/10/presidential-proclamation-patriot-day-and-national-day-service-and-remem"
"Honoring the Victims of the Attack in Benghazi, Libya","2012-09-12","2012-09-16","https://www.whitehouse.gov/the-press-office/2012/09/12/presidential-proclamation-honoring-victims-attack-benghazi-libya"
